# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: CN
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2020-04-04,清明节
2020-04-06,清明节（补假）
2020-05-01,劳动节
2020-05-04,休息日（由 2020-04-26 调休）
2020-05-05,休息日（由 2020-05-09 调休）
2020-06-25,端午节
2020-06-26,休息日（由 2020-06-28 调休）
2020-10-01,中秋节; 国庆节
2020-10-02,国庆节
2020-10-03,国庆节
2020-10-05,国庆节（补假）
2020-10-06,中秋节（补假）
2020-10-07,休息日（由 2020-09-27 调休）
2020-10-08,休息日（由 2020-10-10 调休）
2021-01-01,元旦
2021-02-11,休息日（由 2021-02-07 调休）
2021-02-12,春节
2021-02-13,春节
2021-02-14,春节
2021-02-15,春节（补假）
2021-02-16,春节（补假）
2021-02-17,休息日（由 2021-02-20 调休）
2021-04-04,清明节
2021-04-05,清明节（补假）
2021-05-01,劳动节
2021-05-03,劳动节（补假）
2021-05-04,休息日（由 2021-04-25 调休）
2021-05-05,休息日（由 2021-05-08 调休）
2021-06-14,端午节
2021-09-20,休息日（由 2021-09-18 调休）
2021-09-21,中秋节
2021-10-01,国庆节
2021-10-02,国庆节
2021-10-03,国庆节
2021-10-04,国庆节（补假）
2021-10-05,国庆节（补假）
2021-10-06,休息日（由 2021-09-26 调休）
2021-10-07,休息日（由 2021-10-09 调休）
2022-01-01,元旦
2022-01-03,元旦（补假）
2022-01-31,休息日（由 2022-01-29 调休）
2022-02-01,春节
2022-02-02,春节
2022-02-03,春节
2022-02-04,休息日（由 2022-01-30 调休）
2022-04-04,休息日（由 2022-04-02 调休）
2022-04-05,清明节
2022-05-01,劳动节
2022-05-02,劳动节（补假）
2022-05-03,休息日（由 2022-04-24 调休）
2022-05-04,休息日（由 2022-05-07 调休）
2022-06-03,端午节
2022-09-10,中秋节
2022-09-12,中秋节（补假）
2022-10-01,国庆节
2022-10-02,国庆节
2022-10-03,国庆节
2022-10-04,国庆节（补假）
2022-10-05,国庆节（补假）
2022-10-06,休息日（由 2022-10-08 调休）
2022-10-07,休息日（由 2022-10-09 调休）
2023-01-01,元旦
2023-01-02,元旦（补假）
2023-01-22,春节
2023-01-23,春节
2023-01-24,春节
2023-01-25,春节（补假）
2023-01-26,休息日（由 2023-01-28 调休）
2023-01-27,休息日（由 2023-01-29 调休）
2023-04-05,清明节
2023-05-01,劳动节
2023-05-02,休息日（由 2023-04-23 调休）
2023-05-03,休息日（由 2023-05-06 调休）
2023-06-22,端午节
2023-06-23,休息日（由 2023-06-25 调休）
2023-09-29,中秋节
2023-10-01,国庆节
2023-10-02,国庆节
2023-10-03,国庆节
2023-10-04,国庆节（补假）
2023-10-05,休息日（由 2023-10-07 调休）
2023-10-06,休息日（由 2023-10-08 调休）
2024-01-01,元旦
2024-02-10,春节
2024-02-11,春节
2024-02-12,春节
2024-02-13,春节（补假）
2024-02-14,春节（补假）
2024-02-15,休息日（由 2024-02-04 调休）
2024-02-16,休息日（由 2024-02-18 调休）
2024-04-04,清明节
2024-04-05,休息日（由 2024-04-07 调休）
2024-05-01,劳动节
2024-05-02,休息日（由 2024-04-28 调休）
2024-05-03,休息日（由 2024-05-11 调休）
2024-06-10,端午节
2024-09-16,休息日（由 2024-09-14 调休）
2024-09-17,中秋节
2024-10-01,国庆节
2024-10-02,国庆节
2024-10-03,国庆节
2024-10-04,休息日（由 2024-09-29 调休）
2024-10-07,休息日（由 2024-10-12 调休）
2025-01-01,元旦
2025-01-28,农历除夕
2025-01-29,春节
2025-01-30,春节
2025-01-31,春节
2025-02-03,休息日（由 2025-01-26 调休）
2025-02-04,休息日（由 2025-02-08 调休）
2025-04-04,清明节
2025-05-01,劳动节
2025-05-02,劳动节
2025-05-05,休息日（由 2025-04-27 调休）
2025-05-31,端午节
2025-06-02,端午节（补假）
2025-10-01,国庆节
2025-10-02,国庆节
2025-10-03,国庆节
2025-10-06,中秋节
2025-10-07,休息日（由 2025-09-28 调休）
2025-10-08,休息日（由 2025-10-11 调休）
2026-01-01,元旦
2026-01-02,休息日（由 2026-01-04 调休）
2026-02-16,农历除夕
2026-02-17,春节
2026-02-18,春节
2026-02-19,春节
2026-02-20,休息日（由 2026-02-14 调休）
2026-02-23,休息日（由 2026-02-28 调休）
2026-04-05,清明节
2026-04-06,清明节（补假）
2026-05-01,劳动节
2026-05-02,劳动节
2026-05-04,劳动节（补假）
2026-05-05,休息日（由 2026-05-09 调休）
2026-06-19,端午节
2026-09-25,中秋节
2026-10-01,国庆节
2026-10-02,国庆节
2026-10-03,国庆节
2026-10-05,国庆节（补假）
2026-10-06,休息日（由 2026-09-20 调休）
2026-10-07,休息日（由 2026-10-10 调休）
2027-01-01,元旦
2027-02-05,农历除夕
2027-02-06,春节
2027-02-07,春节
2027-02-08,春节
2027-02-09,春节（补假）
2027-02-10,春节（补假）
2027-04-05,清明节
2027-05-01,劳动节
2027-05-02,劳动节
2027-05-03,劳动节（补假）
2027-05-04,劳动节（补假）
2027-06-09,端午节
2027-09-15,中秋节
2027-10-01,国庆节
2027-10-02,国庆节
2027-10-03,国庆节
2027-10-04,国庆节（补假）
2027-10-05,国庆节（补假）
2028-01-01,元旦
2028-01-03,元旦（补假）
2028-01-25,农历除夕
2028-01-26,春节
2028-01-27,春节
2028-01-28,春节
2028-04-04,清明节
2028-05-01,劳动节
2028-05-02,劳动节
2028-05-28,端午节
2028-05-29,端午节（补假）
2028-10-01,国庆节
2028-10-02,国庆节
2028-10-03,中秋节; 国庆节
2028-10-04,国庆节（补假）
2029-01-01,元旦
2029-02-12,农历除夕
2029-02-13,春节
2029-02-14,春节
2029-02-15,春节
2029-04-04,清明节
2029-05-01,劳动节
2029-05-02,劳动节
2029-06-16,端午节
2029-06-18,端午节（补假）
2029-09-22,中秋节
2029-09-24,中秋节（补假）
2029-10-01,国庆节
2029-10-02,国庆节
2029-10-03,国庆节
2030-01-01,元旦
2030-02-02,农历除夕
2030-02-03,春节
2030-02-04,春节
2030-02-05,春节
2030-02-06,农历除夕（补假）
2030-02-07,春节（补假）
2030-04-05,清明节
2030-05-01,劳动节
2030-05-02,劳动节
2030-06-05,端午节
2030-09-12,中秋节
2030-10-01,国庆节
2030-10-02,国庆节
2030-10-03,国庆节
2031-01-01,元旦
2031-01-22,农历除夕
2031-01-23,春节
2031-01-24,春节
2031-01-25,春节
2031-01-27,春节（补假）
2031-04-05,清明节
2031-04-07,清明节（补假）
2031-05-01,劳动节
2031-05-02,劳动节
2031-06-24,端午节
2031-10-01,中秋节; 国庆节
2031-10-02,国庆节
2031-10-03,国庆节
2032-01-01,元旦
2032-02-10,农历除夕
2032-02-11,春节
2032-02-12,春节
2032-02-13,春节
2032-04-04,清明节
2032-04-05,清明节（补假）
2032-05-01,劳动节
2032-05-02,劳动节
2032-05-03,劳动节（补假）
2032-05-04,劳动节（补假）
2032-06-12,端午节
2032-06-14,端午节（补假）
2032-09-19,中秋节
2032-09-20,中秋节（补假）
2032-10-01,国庆节
2032-10-02,国庆节
2032-10-03,国庆节
2032-10-04,国庆节（补假）
2032-10-05,国庆节（补假）
2033-01-01,元旦
2033-01-03,元旦（补假）
2033-01-30,农历除夕
2033-01-31,春节
2033-02-01,春节
2033-02-02,春节
2033-02-03,农历除夕（补假）
2033-04-04,清明节
2033-05-01,劳动节
2033-05-02,劳动节
