# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: DE
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2082-10-03,Tag der Deutschen Einheit
2082-12-25,Erster Weihnachtstag
2082-12-26,Zweiter Weihnachtstag
2083-01-01,Neujahr
2083-04-02,Karfreitag
2083-04-05,Ostermontag
2083-05-01,Erster Mai
2083-05-13,Christi Himmelfahrt
2083-05-24,Pfingstmontag
2083-10-03,Tag der Deutschen Einheit
2083-12-25,Erster Weihnachtstag
2083-12-26,Zweiter Weihnachtstag
2084-01-01,Neujahr
2084-03-24,Karfreitag
2084-03-27,Ostermontag
2084-05-01,Erster Mai
2084-05-04,Christi Himmelfahrt
2084-05-15,Pfingstmontag
2084-10-03,Tag der Deutschen Einheit
2084-12-25,Erster Weihnachtstag
2084-12-26,Zweiter Weihnachtstag
2085-01-01,Neujahr
2085-04-13,Karfreitag
2085-04-16,Ostermontag
2085-05-01,Erster Mai
2085-05-24,Christi Himmelfahrt
2085-06-04,Pfingstmontag
2085-10-03,Tag der Deutschen Einheit
2085-12-25,Erster Weihnachtstag
2085-12-26,Zweiter Weihnachtstag
2086-01-01,Neujahr
2086-03-29,Karfreitag
2086-04-01,Ostermontag
2086-05-01,Erster Mai
2086-05-09,Christi Himmelfahrt
2086-05-20,Pfingstmontag
2086-10-03,Tag der Deutschen Einheit
2086-12-25,Erster Weihnachtstag
2086-12-26,Zweiter Weihnachtstag
2087-01-01,Neujahr
2087-04-18,Karfreitag
2087-04-21,Ostermontag
2087-05-01,Erster Mai
2087-05-29,Christi Himmelfahrt
2087-06-09,Pfingstmontag
2087-10-03,Tag der Deutschen Einheit
2087-12-25,Erster Weihnachtstag
2087-12-26,Zweiter Weihnachtstag
2088-01-01,Neujahr
2088-04-09,Karfreitag
2088-04-12,Ostermontag
2088-05-01,Erster Mai
2088-05-20,Christi Himmelfahrt
2088-05-31,Pfingstmontag
